nome,tecnologia,outrosDetalhes
Desenvolvedor(a) Front-end Sênior,CSS,Recargo
"(RESIDENTE) Desenvolvedor(a) .Net, Entity, C#",ASP.NET MVC,Ministério Público Militar
Desenvolvedor(a) React Native/iOS Sênior,Git,Conceptu - Protótipos e Sistemas
Desenvolvedor(a) Sênior (Híbrido),CSS,AXXISPAY INSTITUICAO DE PAGAMENTOS LTDA.
Desenvolvedor(a) Full Stack Sênior,Administrador de sistema,Korpay
Analista Desenvolvedor(a) .Net (Fullstack) Pleno,Angular,Interligados
Desenvolvedor(a) C# Júnior (Processo Seletivo Academia de Talentos) ,C#,AlfaPeople Brasil
Desenvolvedor(a) Full Stack Sênior,Laravel,Inklo
Desenvolvedor(a) Backend Mobile com Node.JS/Typescript - Sênior,Node.js,Rubcube
Analista de Suporte TI - Integração de sistemas,Google Analytics,Actionpay
Estágio em Desenvolvimento de Software,CSS,Calindra
Programador(a) C# Júnior,C#,CONSIGLOG TECNOLOGIA E SOLUÇÕES LTDA
 Desenvolvedor(a) de Sistemas C# - Pleno,C#,Consys Tecnologia
Dev Pleno Especialista em Flutter e Mobile,Dart,Flowih
Desenvolvedor(a) Wordpress Sênior ,WordPress,VitaminaWeb
